2024-10-11 22:00:03,780 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-11 22:00:08,133 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-11 22:00:15,802 - INFO: Actaris(G3) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-11 22:00:48,873 - INFO: Actaris(G4) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-11 22:00:51,325 - INFO: Actaris(G1) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-11 22:05:57,959 - INFO: Elster EK-280 : Total site processed: 17, Successful rows: 7, Errors: 10
2024-10-12 22:00:03,742 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-12 22:00:16,694 - INFO: Actaris(G3) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-12 22:00:46,622 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 1, Errors: 1
2024-10-12 22:00:48,602 - INFO: Actaris(G4) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-12 22:01:36,647 - INFO: Actaris(G1) : Total site processed: 4, Successful rows: 0, Errors: 4
2024-10-12 22:05:57,693 - INFO: Elster EK-280 : Total site processed: 17, Successful rows: 7, Errors: 10
2024-10-13 22:00:03,840 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-13 22:00:08,292 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-13 22:00:16,819 - INFO: Actaris(G3) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-13 22:00:48,881 - INFO: Actaris(G4) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-13 22:01:23,492 - INFO: Actaris(G1) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-13 22:06:30,211 - INFO: Elster EK-280 : Total site processed: 20, Successful rows: 7, Errors: 13
2024-10-14 22:00:04,014 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-14 22:00:08,411 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-14 22:00:21,820 - INFO: Actaris(G3) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-14 22:00:48,924 - INFO: Actaris(G4) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-14 22:01:02,316 - INFO: Actaris(G1) : Total site processed: 2, Successful rows: 0, Errors: 2
2024-10-14 22:07:05,100 - INFO: Elster EK-280 : Total site processed: 20, Successful rows: 8, Errors: 12
2024-10-15 22:00:03,986 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-15 22:00:07,314 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-15 22:00:45,832 - INFO: Actaris(G3) : Total site processed: 4, Successful rows: 1, Errors: 3
2024-10-15 22:01:22,841 - INFO: Actaris(G4) : Total site processed: 4, Successful rows: 0, Errors: 4
2024-10-15 22:01:25,063 - INFO: Actaris(G1) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-15 22:07:28,963 - INFO: Elster EK-280 : Total site processed: 21, Successful rows: 8, Errors: 13
2024-10-16 22:00:03,001 - INFO: Actaris(U) : Total site processed: 0, Successful rows: 0, Errors: 0
2024-10-16 22:00:16,106 - INFO: Actaris(G3) : Total site processed: 3, Successful rows: 0, Errors: 3
2024-10-16 22:00:25,946 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 0, Errors: 2
2024-10-16 22:01:54,438 - INFO: Actaris(G4) : Total site processed: 4, Successful rows: 1, Errors: 3
