2024-10-11 22:00:08,128 - ERROR: Error occurred at 2024-10-11 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-12 22:00:09,042 - ERROR: Error occurred at 2024-10-12 22:00:09 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-13 22:00:08,287 - ERROR: Error occurred at 2024-10-13 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-14 22:00:08,407 - ERROR: Error occurred at 2024-10-14 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-15 22:00:07,309 - ERROR: Error occurred at 2024-10-15 22:00:07 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-16 22:00:20,670 - ERROR: Error occurred at 2024-10-16 22:00:20 - TCP IP: 10.68.111.114, Port: 2402, Run: 1, METERID: MET0693. Error: TimeoutError: timed out
2024-10-16 22:00:25,941 - ERROR: Error occurred at 2024-10-16 22:00:25 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffffdff!
2024-10-17 22:00:22,192 - ERROR: Error occurred at 2024-10-17 22:00:22 - TCP IP: 10.68.111.114, Port: 2402, Run: 1, METERID: MET0693. Error: TimeoutError: timed out
2024-10-17 22:00:27,536 - ERROR: Error occurred at 2024-10-17 22:00:27 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-18 22:00:09,076 - ERROR: Error occurred at 2024-10-18 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-19 22:00:08,623 - ERROR: Error occurred at 2024-10-19 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffffdff!
2024-10-20 22:00:09,120 - ERROR: Error occurred at 2024-10-20 22:00:09 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffffdff!
2024-10-21 22:00:08,124 - ERROR: Error occurred at 2024-10-21 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-22 22:00:36,014 - ERROR: Error occurred at 2024-10-22 22:00:35 - TCP IP: 10.68.110.132, Port: 2402, Run: 1, METERID: MET0687. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-22 22:00:41,128 - ERROR: Error occurred at 2024-10-22 22:00:41 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-23 22:00:37,041 - ERROR: Error occurred at 2024-10-23 22:00:36 - TCP IP: 10.68.110.132, Port: 2402, Run: 1, METERID: MET0687. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-23 22:00:42,220 - ERROR: Error occurred at 2024-10-23 22:00:42 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-24 22:00:36,277 - ERROR: Error occurred at 2024-10-24 22:00:36 - TCP IP: 10.68.110.132, Port: 2402, Run: 1, METERID: MET0687. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-24 22:00:41,463 - ERROR: Error occurred at 2024-10-24 22:00:41 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-25 22:00:36,225 - ERROR: Error occurred at 2024-10-25 22:00:36 - TCP IP: 10.68.110.132, Port: 2402, Run: 1, METERID: MET0687. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-25 22:00:41,326 - ERROR: Error occurred at 2024-10-25 22:00:41 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-26 22:00:36,193 - ERROR: Error occurred at 2024-10-26 22:00:36 - TCP IP: 10.68.110.132, Port: 2402, Run: 1, METERID: MET0687. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-26 22:00:41,309 - ERROR: Error occurred at 2024-10-26 22:00:41 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-27 22:00:08,381 - ERROR: Error occurred at 2024-10-27 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-28 22:00:07,621 - ERROR: Error occurred at 2024-10-28 22:00:07 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-29 22:00:08,972 - ERROR: Error occurred at 2024-10-29 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-30 22:00:08,974 - ERROR: Error occurred at 2024-10-30 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-31 22:00:08,559 - ERROR: Error occurred at 2024-10-31 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-01 22:00:07,447 - ERROR: Error occurred at 2024-11-01 22:00:07 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-02 22:00:09,227 - ERROR: Error occurred at 2024-11-02 22:00:09 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-03 22:00:18,736 - ERROR: Error occurred at 2024-11-03 22:00:18 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-11-03 22:00:24,067 - ERROR: Error occurred at 2024-11-03 22:00:23 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-04 22:00:53,535 - ERROR: Error occurred at 2024-11-04 22:00:53 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-05 22:00:08,816 - ERROR: Error occurred at 2024-11-05 22:00:08 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-12-01 22:00:18,420 - ERROR: Error occurred at 2024-12-01 22:00:18 - TCP IP: 10.72.191.105, Port: 2402, Run: 1, METERID: MET0628. Error: TimeoutError: timed out
2024-12-01 22:00:33,473 - ERROR: Error occurred at 2024-12-01 22:00:33 - TCP IP: 10.72.191.105, Port: 2404, Run: 2, METERID: MET0628. Error: TimeoutError: timed out
2024-12-25 22:00:59,334 - ERROR: Error occurred at 2024-12-25 22:00:59 - TCP IP: 10.68.111.105, Port: 2402, Run: 1, METERID: MET0469. Error: TimeoutError: timed out
2024-12-25 22:01:14,386 - ERROR: Error occurred at 2024-12-25 22:01:14 - TCP IP: 10.68.111.105, Port: 2404, Run: 2, METERID: MET0469. Error: TimeoutError: timed out
2024-12-27 22:00:10,107 - ERROR: Error occurred at 2024-12-27 22:00:10 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-28 22:00:09,752 - ERROR: Error occurred at 2024-12-28 22:00:09 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-29 22:00:08,934 - ERROR: Error occurred at 2024-12-29 22:00:08 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-29 22:00:23,987 - ERROR: Error occurred at 2024-12-29 22:00:23 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-12-29 22:00:39,042 - ERROR: Error occurred at 2024-12-29 22:00:38 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2024-12-29 22:00:54,097 - ERROR: Error occurred at 2024-12-29 22:00:54 - TCP IP: 10.68.110.79, Port: 2402, Run: 1, METERID: MET0680. Error: TimeoutError: timed out
2024-12-29 22:01:09,150 - ERROR: Error occurred at 2024-12-29 22:01:09 - TCP IP: 10.68.110.79, Port: 2404, Run: 2, METERID: MET0680. Error: TimeoutError: timed out
2024-12-30 22:00:09,753 - ERROR: Error occurred at 2024-12-30 22:00:09 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-30 22:00:24,796 - ERROR: Error occurred at 2024-12-30 22:00:24 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-12-30 22:00:39,840 - ERROR: Error occurred at 2024-12-30 22:00:39 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2024-12-31 22:00:09,526 - ERROR: Error occurred at 2024-12-31 22:00:09 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-31 22:00:24,569 - ERROR: Error occurred at 2024-12-31 22:00:24 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-12-31 22:00:39,624 - ERROR: Error occurred at 2024-12-31 22:00:39 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-01 22:00:24,752 - ERROR: Error occurred at 2025-01-01 22:00:24 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: TimeoutError: timed out
2025-01-01 22:01:25,578 - ERROR: Error occurred at 2025-01-01 22:01:25 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-02 22:00:17,673 - ERROR: Error occurred at 2025-01-02 22:00:17 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-03 22:00:18,578 - ERROR: Error occurred at 2025-01-03 22:00:18 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-04 22:00:18,385 - ERROR: Error occurred at 2025-01-04 22:00:18 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-05 22:00:17,952 - ERROR: Error occurred at 2025-01-05 22:00:17 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-06 22:00:18,362 - ERROR: Error occurred at 2025-01-06 22:00:18 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-07 22:00:18,737 - ERROR: Error occurred at 2025-01-07 22:00:18 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-08 22:00:21,302 - ERROR: Error occurred at 2025-01-08 22:00:21 - TCP IP: 10.68.111.60, Port: 2404, Run: 2, METERID: MET0436. Error: TimeoutError: timed out
2025-01-08 22:00:36,477 - ERROR: Error occurred at 2025-01-08 22:00:36 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-09 22:01:34,300 - ERROR: Error occurred at 2025-01-09 22:01:34 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-10 22:00:55,251 - ERROR: Error occurred at 2025-01-10 22:00:55 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-11 22:00:18,758 - ERROR: Error occurred at 2025-01-11 22:00:18 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-12 22:00:56,521 - ERROR: Error occurred at 2025-01-12 22:00:56 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-13 22:00:36,331 - ERROR: Error occurred at 2025-01-13 22:00:36 - TCP IP: 10.68.110.89, Port: 2402, Run: 1, METERID: MET0108. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2025-01-13 22:00:59,433 - ERROR: Error occurred at 2025-01-13 22:00:59 - TCP IP: 10.68.110.89, Port: 2404, Run: 2, METERID: MET0108. Error: TimeoutError: timed out
2025-01-13 22:01:14,492 - ERROR: Error occurred at 2025-01-13 22:01:14 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2025-01-13 22:01:29,545 - ERROR: Error occurred at 2025-01-13 22:01:29 - TCP IP: 10.68.111.22, Port: 2402, Run: 1, METERID: MET0483. Error: TimeoutError: timed out
2025-01-14 22:00:36,246 - ERROR: Error occurred at 2025-01-14 22:00:36 - TCP IP: 10.68.110.89, Port: 2404, Run: 2, METERID: MET0108. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2025-01-14 22:00:51,302 - ERROR: Error occurred at 2025-01-14 22:00:51 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
