2024-10-11 22:00:20,814 - ERROR: Error occurred at 2024-10-11 22:00:20 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-11 22:00:44,751 - ERROR: Error occurred at 2024-10-11 22:00:44 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-11 22:00:48,868 - ERROR: Error occurred at 2024-10-11 22:00:48 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-12 22:00:20,088 - ERROR: Error occurred at 2024-10-12 22:00:20 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-12 22:00:43,743 - ERROR: Error occurred at 2024-10-12 22:00:43 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-12 22:00:48,597 - ERROR: Error occurred at 2024-10-12 22:00:48 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 22:00:20,936 - ERROR: Error occurred at 2024-10-13 22:00:20 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-13 22:00:44,762 - ERROR: Error occurred at 2024-10-13 22:00:44 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-13 22:00:48,876 - ERROR: Error occurred at 2024-10-13 22:00:48 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-14 22:00:20,959 - ERROR: Error occurred at 2024-10-14 22:00:20 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-14 22:00:44,411 - ERROR: Error occurred at 2024-10-14 22:00:44 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-14 22:00:48,918 - ERROR: Error occurred at 2024-10-14 22:00:48 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-15 22:00:20,015 - ERROR: Error occurred at 2024-10-15 22:00:19 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-15 22:00:44,056 - ERROR: Error occurred at 2024-10-15 22:00:44 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-15 22:01:09,730 - ERROR: Error occurred at 2024-10-15 22:01:09 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 0f010308670ee6e0018c03206b36!
2024-10-15 22:01:18,564 - ERROR: Error occurred at 2024-10-15 22:01:18 - TCP IP: 10.68.111.24, Port: 2404, Run: 2, METERID: MET0172. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device dae1483f800000d90f010308670ee6c1018d032086f1!
2024-10-15 22:01:22,836 - ERROR: Error occurred at 2024-10-15 22:01:22 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-16 22:00:21,893 - ERROR: Error occurred at 2024-10-16 22:00:21 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-16 22:00:45,650 - ERROR: Error occurred at 2024-10-16 22:00:45 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-16 22:01:54,431 - ERROR: Error occurred at 2024-10-16 22:01:54 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-17 22:00:21,572 - ERROR: Error occurred at 2024-10-17 22:00:21 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-17 22:00:45,346 - ERROR: Error occurred at 2024-10-17 22:00:45 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-17 22:01:04,283 - ERROR: Error occurred at 2024-10-17 22:01:04 - TCP IP: 10.72.191.192, Port: 2402, Run: 1, METERID: MET0580. Error: TimeoutError: timed out
2024-10-17 22:01:08,715 - ERROR: Error occurred at 2024-10-17 22:01:08 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
