2024-10-13 22:01:27,066 - ERROR: Error occurred at 2024-10-13 22:01:27 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-13 22:01:39,367 - ERROR: Error occurred at 2024-10-13 22:01:39 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 22:01:42,464 - ERROR: Error occurred at 2024-10-13 22:01:42 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
2024-10-13 22:01:57,519 - ERROR: Error occurred at 2024-10-13 22:01:57 - TCP IP: 10.68.111.170, Port: 2402, Run: 1, METERID: MET0584. Error: TimeoutError: timed out
2024-10-13 22:02:12,570 - ERROR: Error occurred at 2024-10-13 22:02:12 - TCP IP: 10.68.111.170, Port: 2404, Run: 1, METERID: MET0583. Error: TimeoutError: timed out
2024-10-13 22:03:03,367 - ERROR: Error occurred at 2024-10-13 22:03:03 - TCP IP: 10.68.111.222, Port: 2402, Run: 1, METERID: MET0482. Error: TimeoutError: timed out
2024-10-13 22:04:31,290 - ERROR: Error occurred at 2024-10-13 22:04:31 - TCP IP: 10.68.110.28, Port: 2404, Run: 2, METERID: MET0386. Error: TimeoutError: timed out
2024-10-13 22:04:49,386 - ERROR: Error occurred at 2024-10-13 22:04:49 - TCP IP: 10.68.110.115, Port: 2402, Run: 1, METERID: MET0361. Error: TimeoutError: timed out
2024-10-13 22:05:39,800 - ERROR: Error occurred at 2024-10-13 22:05:39 - TCP IP: 10.68.110.124, Port: 2402, Run: 1, METERID: MET0538. Error: TimeoutError: timed out
2024-10-13 22:06:00,010 - ERROR: Error occurred at 2024-10-13 22:05:59 - TCP IP: 10.68.110.124, Port: 2404, Run: 2, METERID: MET0538. Error: TimeoutError: timed out
2024-10-13 22:06:15,063 - ERROR: Error occurred at 2024-10-13 22:06:15 - TCP IP: 10.68.111.248, Port: 2404, Run: 2, METERID: MET0603. Error: TimeoutError: timed out
2024-10-13 22:06:30,115 - ERROR: Error occurred at 2024-10-13 22:06:30 - TCP IP: 10.72.191.222, Port: 2402, Run: 1, METERID: MET0646. Error: TimeoutError: timed out
2024-10-14 22:01:20,001 - ERROR: Error occurred at 2024-10-14 22:01:19 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
