2024-10-30 21:02:05,476 - ERROR: Error occurred at 2024-10-30 21:02:05 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-31 21:01:26,909 - ERROR: Error occurred at 2024-10-31 21:01:26 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-01 21:01:28,411 - ERROR: Error occurred at 2024-11-01 21:01:28 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-02 21:01:27,234 - ERROR: Error occurred at 2024-11-02 21:01:27 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-03 21:00:19,459 - ERROR: Error occurred at 2024-11-03 21:00:19 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-11-03 21:01:42,105 - ERROR: Error occurred at 2024-11-03 21:01:42 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-04 21:02:40,269 - ERROR: Error occurred at 2024-11-04 21:02:40 - TCP IP: 10.68.110.100, Port: 2404, Run: 1, METERID: MET0479. Error: ValueError: invalid literal for int() with base 16: ''
2024-11-04 21:03:23,517 - ERROR: Error occurred at 2024-11-04 21:03:23 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-05 21:01:26,601 - ERROR: Error occurred at 2024-11-05 21:01:26 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-11-08 21:00:35,248 - ERROR: Error occurred at 2024-11-08 21:00:35 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: ValueError: invalid literal for int() with base 16: ''
2024-11-09 21:00:58,428 - ERROR: Error occurred at 2024-11-09 21:00:58 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-11-15 21:00:28,681 - ERROR: Error occurred at 2024-11-15 21:00:28 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-11-23 21:00:19,173 - ERROR: Error occurred at 2024-11-23 21:00:19 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-11-23 21:00:34,351 - ERROR: Error occurred at 2024-11-23 21:00:34 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-12-01 21:00:19,269 - ERROR: Error occurred at 2024-12-01 21:00:19 - TCP IP: 10.72.191.105, Port: 2402, Run: 1, METERID: MET0628. Error: TimeoutError: timed out
2024-12-01 21:00:34,312 - ERROR: Error occurred at 2024-12-01 21:00:34 - TCP IP: 10.72.191.105, Port: 2404, Run: 2, METERID: MET0628. Error: TimeoutError: timed out
2024-12-05 21:03:34,450 - ERROR: Error occurred at 2024-12-05 21:03:34 - TCP IP: 10.68.111.67, Port: 2402, Run: 1, METERID: MET0252. Error: TimeoutError: timed out
2024-12-05 21:03:49,506 - ERROR: Error occurred at 2024-12-05 21:03:49 - TCP IP: 10.68.111.67, Port: 2404, Run: 2, METERID: MET0252. Error: TimeoutError: timed out
2024-12-09 21:04:19,847 - ERROR: Error occurred at 2024-12-09 21:04:19 - TCP IP: 10.68.110.10, Port: 2402, Run: 1, METERID: MET0269. Error: TimeoutError: timed out
2024-12-11 21:01:43,676 - ERROR: Error occurred at 2024-12-11 21:01:43 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: ValueError: invalid literal for int() with base 16: ''
2024-12-14 21:00:59,935 - ERROR: Error occurred at 2024-12-14 21:00:59 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device b041893f80000066cc010308675df2ec01ef07212838!
2024-12-17 21:01:09,473 - ERROR: Error occurred at 2024-12-17 21:01:09 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-12-20 21:04:29,294 - ERROR: Error occurred at 2024-12-20 21:04:29 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-12-25 21:01:39,020 - ERROR: Error occurred at 2024-12-25 21:01:38 - TCP IP: 10.68.111.36, Port: 2402, Run: 1, METERID: MET0489. Error: TimeoutError: timed out
2024-12-25 21:04:28,427 - ERROR: Error occurred at 2024-12-25 21:04:28 - TCP IP: 10.68.111.105, Port: 2402, Run: 1, METERID: MET0469. Error: TimeoutError: timed out
2024-12-25 21:04:43,482 - ERROR: Error occurred at 2024-12-25 21:04:43 - TCP IP: 10.68.111.105, Port: 2404, Run: 2, METERID: MET0469. Error: TimeoutError: timed out
2024-12-27 21:00:08,602 - ERROR: Error occurred at 2024-12-27 21:00:08 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-27 21:00:23,675 - ERROR: Error occurred at 2024-12-27 21:00:23 - TCP IP: 10.68.110.29, Port: 2402, Run: 1, METERID: MET0270. Error: TimeoutError: timed out
2024-12-27 21:00:38,723 - ERROR: Error occurred at 2024-12-27 21:00:38 - TCP IP: 10.68.110.29, Port: 2404, Run: 2, METERID: MET0270. Error: TimeoutError: timed out
