2024-10-11 21:00:49,769 - ERROR: Error occurred at 2024-10-11 21:00:49 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-11 21:01:15,636 - ERROR: Error occurred at 2024-10-11 21:01:15 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-11 21:01:49,179 - ERROR: Error occurred at 2024-10-11 21:01:49 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-12 21:00:51,385 - ERROR: Error occurred at 2024-10-12 21:00:51 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-12 21:01:17,275 - ERROR: Error occurred at 2024-10-12 21:01:17 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-12 21:03:16,788 - ERROR: Error occurred at 2024-10-12 21:03:16 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 21:00:51,736 - ERROR: Error occurred at 2024-10-13 21:00:51 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-13 21:01:15,451 - ERROR: Error occurred at 2024-10-13 21:01:15 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-13 21:03:52,833 - ERROR: Error occurred at 2024-10-13 21:03:52 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-14 21:01:19,127 - ERROR: Error occurred at 2024-10-14 21:01:19 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-14 21:01:44,763 - ERROR: Error occurred at 2024-10-14 21:01:44 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-14 21:02:47,665 - ERROR: Error occurred at 2024-10-14 21:02:47 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-15 21:00:51,085 - ERROR: Error occurred at 2024-10-15 21:00:51 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-15 21:01:14,887 - ERROR: Error occurred at 2024-10-15 21:01:14 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-15 21:02:13,935 - ERROR: Error occurred at 2024-10-15 21:02:13 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-15 21:02:38,903 - ERROR: Error occurred at 2024-10-15 21:02:38 - TCP IP: 10.68.111.24, Port: 2404, Run: 2, METERID: MET0172. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 0f!
2024-10-15 21:03:40,725 - ERROR: Error occurred at 2024-10-15 21:03:40 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-16 21:00:49,851 - ERROR: Error occurred at 2024-10-16 21:00:49 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
