2024-10-25 15:00:06,563 - ERROR: Error occurred at 2024-10-25 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-26 15:00:05,973 - ERROR: Error occurred at 2024-10-26 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-27 15:00:05,332 - ERROR: Error occurred at 2024-10-27 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-28 15:00:05,858 - ERROR: Error occurred at 2024-10-28 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-29 15:00:06,739 - ERROR: Error occurred at 2024-10-29 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-30 15:00:07,096 - ERROR: Error occurred at 2024-10-30 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-10-31 15:00:06,498 - ERROR: Error occurred at 2024-10-31 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-01 15:00:06,551 - ERROR: Error occurred at 2024-11-01 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-02 15:00:06,354 - ERROR: Error occurred at 2024-11-02 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-03 15:00:07,105 - ERROR: Error occurred at 2024-11-03 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-04 15:00:07,784 - ERROR: Error occurred at 2024-11-04 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-05 15:00:06,096 - ERROR: Error occurred at 2024-11-05 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-06 15:00:06,067 - ERROR: Error occurred at 2024-11-06 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-07 15:00:06,448 - ERROR: Error occurred at 2024-11-07 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-08 15:00:07,013 - ERROR: Error occurred at 2024-11-08 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-09 15:00:06,113 - ERROR: Error occurred at 2024-11-09 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-10 15:00:07,811 - ERROR: Error occurred at 2024-11-10 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-11 15:00:07,591 - ERROR: Error occurred at 2024-11-11 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-12 15:00:06,658 - ERROR: Error occurred at 2024-11-12 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-13 15:00:05,940 - ERROR: Error occurred at 2024-11-13 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-14 15:00:05,606 - ERROR: Error occurred at 2024-11-14 15:00:05 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-15 15:00:06,858 - ERROR: Error occurred at 2024-11-15 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-16 15:00:11,770 - ERROR: Error occurred at 2024-11-16 15:00:11 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: TimeoutError: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
2024-11-17 15:00:07,506 - ERROR: Error occurred at 2024-11-17 15:00:07 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-18 15:00:06,586 - ERROR: Error occurred at 2024-11-18 15:00:06 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-19 12:09:05,017 - ERROR: Error occurred at 2024-11-19 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-20 12:09:04,947 - ERROR: Error occurred at 2024-11-20 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-21 12:09:04,763 - ERROR: Error occurred at 2024-11-21 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-22 12:09:04,761 - ERROR: Error occurred at 2024-11-22 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-23 12:09:04,679 - ERROR: Error occurred at 2024-11-23 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-24 12:09:04,634 - ERROR: Error occurred at 2024-11-24 12:09:04 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-25 12:09:03,690 - ERROR: Error occurred at 2024-11-25 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-26 12:09:03,580 - ERROR: Error occurred at 2024-11-26 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-27 12:09:03,870 - ERROR: Error occurred at 2024-11-27 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-11-28 12:09:21,408 - ERROR: Error occurred at 2024-11-28 12:09:21 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: TimeoutError: timed out
2024-11-29 12:09:21,641 - ERROR: Error occurred at 2024-11-29 12:09:21 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: TimeoutError: timed out
2024-11-30 12:09:03,646 - ERROR: Error occurred at 2024-11-30 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-12-01 12:09:03,798 - ERROR: Error occurred at 2024-12-01 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-12-02 12:09:03,798 - ERROR: Error occurred at 2024-12-02 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-12-03 12:10:00,402 - ERROR: Error occurred at 2024-12-03 12:10:00 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
2024-12-04 12:09:04,081 - ERROR: Error occurred at 2024-12-04 12:09:03 - TCP IP: 10.68.110.207, Port: 2101, Run: 1, METERID: MET0149. Error: ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it
