2024-10-11 15:23:58,047 - ERROR: Error occurred at 2024-10-11 15:23:58 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-10-11 15:24:13,226 - ERROR: Error occurred at 2024-10-11 15:24:13 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-10-11 15:30:00,250 - ERROR: Error occurred at 2024-10-11 15:30:00 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-11 15:35:29,021 - ERROR: Error occurred at 2024-10-11 15:35:28 - TCP IP: 10.68.111.145, Port: 2402, Run: 1, METERID: MET0107. Error: TimeoutError: timed out
2024-10-11 15:46:07,385 - ERROR: Error occurred at 2024-10-11 15:46:07 - TCP IP: 10.68.111.136, Port: 2402, Run: 1, METERID: MET0100. Error: TimeoutError: timed out
2024-10-12 15:00:50,841 - ERROR: Error occurred at 2024-10-12 15:00:50 - TCP IP: 10.68.110.244, Port: 2404, Run: 2, METERID: MET0404. Error: TimeoutError: timed out
2024-10-12 15:23:50,789 - ERROR: Error occurred at 2024-10-12 15:23:50 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-10-12 15:24:05,957 - ERROR: Error occurred at 2024-10-12 15:24:05 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-10-12 15:30:01,631 - ERROR: Error occurred at 2024-10-12 15:30:01 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-12 15:41:31,869 - ERROR: Error occurred at 2024-10-12 15:41:31 - TCP IP: 10.68.111.10, Port: 2404, Run: 2, METERID: MET0182. Error: TimeoutError: timed out
2024-10-12 15:48:34,974 - ERROR: Error occurred at 2024-10-12 15:48:34 - TCP IP: 10.68.110.135, Port: 2404, Run: 2, METERID: MET0327. Error: TimeoutError: timed out
2024-10-13 15:17:45,105 - ERROR: Error occurred at 2024-10-13 15:17:45 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-10-13 15:18:35,038 - ERROR: Error occurred at 2024-10-13 15:18:35 - TCP IP: 10.68.110.45, Port: 2404, Run: 2, METERID: MET0688. Error: TimeoutError: timed out
2024-10-13 15:23:34,606 - ERROR: Error occurred at 2024-10-13 15:23:34 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-10-13 15:23:49,769 - ERROR: Error occurred at 2024-10-13 15:23:49 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-10-13 15:29:37,835 - ERROR: Error occurred at 2024-10-13 15:29:37 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-14 15:12:42,780 - ERROR: Error occurred at 2024-10-14 15:12:42 - TCP IP: 10.68.110.159, Port: 2402, Run: 1, METERID: MET0485. Error: ValueError: invalid literal for int() with base 16: ''
2024-10-14 15:23:59,187 - ERROR: Error occurred at 2024-10-14 15:23:59 - TCP IP: 10.68.110.99, Port: 2402, Run: 1, METERID: MET0267. Error: TimeoutError: timed out
2024-10-14 15:24:14,279 - ERROR: Error occurred at 2024-10-14 15:24:14 - TCP IP: 10.68.110.99, Port: 2404, Run: 2, METERID: MET0267. Error: TimeoutError: timed out
2024-10-14 15:29:18,244 - ERROR: Error occurred at 2024-10-14 15:29:18 - TCP IP: 10.68.111.227, Port: 2402, Run: 1, METERID: MET0260. Error: TimeoutError: timed out
2024-10-14 15:29:33,347 - ERROR: Error occurred at 2024-10-14 15:29:33 - TCP IP: 10.68.111.227, Port: 2404, Run: 2, METERID: MET0260. Error: TimeoutError: timed out
2024-10-14 15:29:37,303 - ERROR: Error occurred at 2024-10-14 15:29:37 - TCP IP: 10.68.110.96, Port: 2402, Run: 1, METERID: MET0437. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdff!
2024-10-14 15:34:14,185 - ERROR: Error occurred at 2024-10-14 15:34:14 - TCP IP: 10.68.110.79, Port: 2402, Run: 1, METERID: MET0680. Error: TimeoutError: timed out
2024-10-14 15:34:29,263 - ERROR: Error occurred at 2024-10-14 15:34:29 - TCP IP: 10.68.110.79, Port: 2404, Run: 2, METERID: MET0680. Error: TimeoutError: timed out
