2024-10-11 15:06:07,970 - ERROR: Error occurred at 2024-10-11 15:06:07 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: TimeoutError: timed out
2024-10-11 15:12:03,711 - ERROR: Error occurred at 2024-10-11 15:12:03 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-11 15:13:17,716 - ERROR: Error occurred at 2024-10-11 15:13:17 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-11 15:20:56,704 - ERROR: Error occurred at 2024-10-11 15:20:56 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: TimeoutError: timed out
2024-10-11 15:43:40,481 - ERROR: Error occurred at 2024-10-11 15:43:40 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-12 15:06:07,328 - ERROR: Error occurred at 2024-10-12 15:06:07 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: TimeoutError: timed out
2024-10-12 15:12:06,881 - ERROR: Error occurred at 2024-10-12 15:12:06 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-12 15:13:20,454 - ERROR: Error occurred at 2024-10-12 15:13:20 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-10-12 15:20:57,463 - ERROR: Error occurred at 2024-10-12 15:20:57 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: TimeoutError: timed out
2024-10-12 15:22:15,737 - ERROR: Error occurred at 2024-10-12 15:22:15 - TCP IP: 10.68.110.60, Port: 4002, Run: 2, METERID: MET0445. Error: TimeoutError: timed out
2024-10-12 15:25:15,193 - ERROR: Error occurred at 2024-10-12 15:25:15 - TCP IP: 10.68.111.176, Port: 2404, Run: 1, METERID: MET0193. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003feced91000000003fdae1483f800000d90f!
2024-10-12 15:37:52,227 - ERROR: Error occurred at 2024-10-12 15:37:52 - TCP IP: 10.68.110.64, Port: 4002, Run: 2, METERID: MET0659. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 03043f800000f7cf0103083f80000000010002874a!
2024-10-12 15:43:05,887 - ERROR: Error occurred at 2024-10-12 15:43:05 - TCP IP: 10.68.110.161, Port: 2402, Run: 1, METERID: MET0369. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device 018302c0f1!
2024-10-13 15:06:09,125 - ERROR: Error occurred at 2024-10-13 15:06:09 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: TimeoutError: timed out
2024-10-13 15:12:16,401 - ERROR: Error occurred at 2024-10-13 15:12:16 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0449. Error: TimeoutError: timed out
2024-10-13 15:13:29,757 - ERROR: Error occurred at 2024-10-13 15:13:29 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: DatabaseError: ORA-00984: un nom de colonne n'est pas autorisé ici
