2024-10-11 15:00:39,659 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-11 15:49:25,871 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 70, Errors: 9
2024-10-11 15:50:00,835 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 63, Errors: 4
2024-10-11 15:50:48,092 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 100, Errors: 19
2024-10-11 15:51:37,828 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-11 15:54:33,821 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 78, Errors: 5
2024-10-12 15:00:39,931 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-12 15:49:47,938 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 68, Errors: 11
2024-10-12 15:49:55,194 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 98, Errors: 21
2024-10-12 15:50:17,423 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-12 15:51:50,037 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 66, Errors: 5
2024-10-12 15:53:54,459 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-13 15:00:40,030 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-13 15:49:34,551 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 71, Errors: 8
2024-10-13 15:50:04,469 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 63, Errors: 4
2024-10-13 15:50:05,570 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 95, Errors: 24
2024-10-13 15:51:50,674 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-13 15:53:36,833 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 74, Errors: 9
2024-10-14 15:00:40,020 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-14 15:49:37,326 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-14 15:49:47,357 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 95, Errors: 24
2024-10-14 15:51:00,820 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 73, Errors: 6
2024-10-14 15:51:48,046 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 65, Errors: 6
2024-10-14 15:54:51,730 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 76, Errors: 7
2024-10-15 15:00:39,555 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-15 15:49:35,753 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 71, Errors: 8
2024-10-15 15:49:43,406 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
2024-10-15 15:50:18,738 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 64, Errors: 3
2024-10-15 15:51:48,123 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 61, Errors: 10
2024-10-15 15:54:07,654 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-16 15:00:40,163 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-16 15:49:30,469 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-16 15:49:39,938 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 71, Errors: 8
2024-10-16 15:50:03,611 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 97, Errors: 22
2024-10-16 15:52:14,831 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 66, Errors: 5
2024-10-16 15:54:02,942 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 76, Errors: 7
2024-10-17 15:00:39,588 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-17 15:49:57,665 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 60, Errors: 7
2024-10-17 15:49:58,452 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 98, Errors: 21
2024-10-17 15:49:59,284 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 72, Errors: 7
2024-10-17 15:52:20,209 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 65, Errors: 6
2024-10-17 15:54:37,162 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 76, Errors: 7
2024-10-18 15:00:39,258 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-18 15:49:29,712 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 97, Errors: 22
2024-10-18 15:50:05,047 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 70, Errors: 9
2024-10-18 15:50:15,932 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 63, Errors: 4
2024-10-18 15:51:38,941 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-18 15:54:34,796 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-19 15:00:40,551 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-19 15:49:56,640 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
2024-10-19 15:50:09,611 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 65, Errors: 2
2024-10-19 15:50:14,714 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 73, Errors: 6
2024-10-19 15:51:58,108 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 65, Errors: 6
2024-10-19 15:54:40,865 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 76, Errors: 7
2024-10-20 15:00:40,008 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-20 15:49:15,339 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 68, Errors: 11
2024-10-20 15:49:40,337 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 61, Errors: 6
2024-10-20 15:49:41,057 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
2024-10-20 15:51:17,852 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 62, Errors: 9
2024-10-20 15:54:32,810 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-21 15:00:40,441 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-21 15:49:34,652 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
2024-10-21 15:50:05,253 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 68, Errors: 11
2024-10-21 15:50:27,135 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-21 15:52:33,623 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-21 15:54:38,154 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 73, Errors: 10
2024-10-22 15:00:40,778 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-22 15:50:07,947 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-22 15:50:52,451 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 59, Errors: 12
2024-10-22 15:50:52,669 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 70, Errors: 9
2024-10-22 15:51:09,447 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 95, Errors: 24
2024-10-22 15:54:35,458 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-23 15:00:39,054 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-23 15:49:56,010 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-23 15:49:56,776 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 69, Errors: 10
2024-10-23 15:50:10,309 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
2024-10-23 15:51:38,014 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-23 15:54:34,688 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 76, Errors: 7
2024-10-24 15:00:39,571 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-10-24 15:52:55,978 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 64, Errors: 3
2024-10-24 15:53:05,755 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 100, Errors: 19
2024-10-24 15:53:20,086 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 70, Errors: 9
2024-10-24 15:54:41,439 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 65, Errors: 6
2024-10-24 15:57:35,959 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 73, Errors: 10
2024-10-25 15:00:06,598 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-25 15:49:41,601 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 70, Errors: 9
2024-10-25 15:50:28,603 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-25 15:50:39,109 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 102, Errors: 17
2024-10-25 15:52:18,970 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 64, Errors: 7
2024-10-25 15:54:00,598 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 72, Errors: 11
2024-10-26 15:00:06,016 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-26 15:49:37,480 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 67, Errors: 12
2024-10-26 15:49:59,343 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 63, Errors: 4
2024-10-26 15:50:35,201 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 95, Errors: 24
2024-10-26 15:52:02,474 - INFO: Actaris(G3) : Total site processed: 71, Successful rows: 62, Errors: 9
2024-10-26 15:54:29,675 - INFO: Actaris(G4) : Total site processed: 83, Successful rows: 75, Errors: 8
2024-10-27 15:00:05,375 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-10-27 15:49:10,101 - INFO: Actaris(G1) : Total site processed: 79, Successful rows: 67, Errors: 12
2024-10-27 15:50:06,092 - INFO: Actaris(G2) : Total site processed: 67, Successful rows: 62, Errors: 5
2024-10-27 15:50:48,595 - INFO: Elster EK-280 : Total site processed: 119, Successful rows: 96, Errors: 23
