2024-10-12 15:20:42,650 - ERROR: Error occurred at 2024-10-12 15:20:42 - TCP IP: 10.68.111.144, Port: 2404, Run: 2, METERID: MET0151. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fe!
2024-10-12 15:22:00,460 - ERROR: Error occurred at 2024-10-12 15:22:00 - TCP IP: 10.68.111.58, Port: 2402, Run: 1, METERID: MET0141. Error: TimeoutError: timed out
2024-10-12 15:22:15,537 - ERROR: Error occurred at 2024-10-12 15:22:15 - TCP IP: 10.68.111.58, Port: 2404, Run: 2, METERID: MET0141. Error: TimeoutError: timed out
2024-10-12 15:23:06,023 - ERROR: Error occurred at 2024-10-12 15:23:05 - TCP IP: 10.68.111.253, Port: 2404, Run: 2, METERID: MET0720. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fffbfbfffb!
2024-10-12 15:27:25,770 - ERROR: Error occurred at 2024-10-12 15:27:25 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-12 15:29:54,038 - ERROR: Error occurred at 2024-10-12 15:29:54 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: TimeoutError: timed out
2024-10-12 15:29:56,672 - ERROR: Error occurred at 2024-10-12 15:29:56 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
2024-10-12 15:35:16,519 - ERROR: Error occurred at 2024-10-12 15:35:16 - TCP IP: 10.68.111.100, Port: 2402, Run: 1, METERID: MET0348. Error: TimeoutError: timed out
2024-10-12 15:35:34,871 - ERROR: Error occurred at 2024-10-12 15:35:34 - TCP IP: 10.68.111.100, Port: 2404, Run: 2, METERID: MET0348. Error: TimeoutError: timed out
2024-10-12 15:36:21,070 - ERROR: Error occurred at 2024-10-12 15:36:21 - TCP IP: 10.68.111.222, Port: 2402, Run: 1, METERID: MET0482. Error: TimeoutError: timed out
2024-10-12 15:39:16,215 - ERROR: Error occurred at 2024-10-12 15:39:16 - TCP IP: 10.72.191.242, Port: 2402, Run: 1, METERID: MET0565. Error: TimeoutError: timed out
2024-10-12 15:39:34,422 - ERROR: Error occurred at 2024-10-12 15:39:34 - TCP IP: 10.68.110.252, Port: 2402, Run: 1, METERID: MET0358. Error: TimeoutError: timed out
2024-10-12 15:39:53,228 - ERROR: Error occurred at 2024-10-12 15:39:53 - TCP IP: 10.72.191.189, Port: 2402, Run: 1, METERID: MET0560. Error: TimeoutError: timed out
2024-10-12 15:41:18,757 - ERROR: Error occurred at 2024-10-12 15:41:18 - TCP IP: 10.68.110.233, Port: 2402, Run: 1, METERID: MET0629. Error: TimeoutError: timed out
2024-10-12 15:41:38,131 - ERROR: Error occurred at 2024-10-12 15:41:38 - TCP IP: 10.68.110.28, Port: 2404, Run: 2, METERID: MET0386. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfffbabffab!
2024-10-12 15:44:50,138 - ERROR: Error occurred at 2024-10-12 15:44:50 - TCP IP: 10.68.110.115, Port: 2402, Run: 1, METERID: MET0361. Error: TimeoutError: timed out
2024-10-12 15:45:07,753 - ERROR: Error occurred at 2024-10-12 15:45:07 - TCP IP: 10.68.110.32, Port: 2402, Run: 1, METERID: MET0666. Error: TimeoutError: timed out
2024-10-12 15:45:25,475 - ERROR: Error occurred at 2024-10-12 15:45:25 - TCP IP: 10.68.110.32, Port: 2404, Run: 2, METERID: MET0666. Error: TimeoutError: timed out
2024-10-12 15:48:11,492 - ERROR: Error occurred at 2024-10-12 15:48:11 - TCP IP: 10.68.110.124, Port: 2402, Run: 1, METERID: MET0538. Error: TimeoutError: timed out
2024-10-12 15:48:26,581 - ERROR: Error occurred at 2024-10-12 15:48:26 - TCP IP: 10.68.110.124, Port: 2404, Run: 2, METERID: MET0538. Error: TimeoutError: timed out
2024-10-12 15:48:41,675 - ERROR: Error occurred at 2024-10-12 15:48:41 - TCP IP: 10.68.111.248, Port: 2404, Run: 2, METERID: MET0603. Error: TimeoutError: timed out
2024-10-13 15:00:34,285 - ERROR: Error occurred at 2024-10-13 15:00:34 - TCP IP: 10.68.110.163, Port: 2402, Run: 1, METERID: MET0363. Error: TimeoutError: timed out
2024-10-13 15:03:33,367 - ERROR: Error occurred at 2024-10-13 15:03:33 - TCP IP: 10.68.110.90, Port: 2402, Run: 1, METERID: MET0408. Error: error: unpack requires a buffer of 4 bytes
2024-10-13 15:04:03,826 - ERROR: Error occurred at 2024-10-13 15:04:03 - TCP IP: 10.68.111.87, Port: 2402, Run: 1, METERID: MET0715. Error: TimeoutError: timed out
2024-10-13 15:06:12,942 - ERROR: Error occurred at 2024-10-13 15:06:12 - TCP IP: 10.68.110.236, Port: 4001, Run: 1, METERID: MET0138. Error: TimeoutError: timed out
2024-10-13 15:06:31,192 - ERROR: Error occurred at 2024-10-13 15:06:31 - TCP IP: 10.68.110.236, Port: 4002, Run: 2, METERID: MET0138. Error: TimeoutError: timed out
2024-10-13 15:16:01,508 - ERROR: Error occurred at 2024-10-13 15:16:01 - TCP IP: 10.72.191.207, Port: 2402, Run: 1, METERID: MET0575. Error: TimeoutError: timed out
2024-10-13 15:16:16,673 - ERROR: Error occurred at 2024-10-13 15:16:16 - TCP IP: 10.72.191.247, Port: 4001, Run: 1, METERID: MET0591. Error: TimeoutError: timed out
2024-10-13 15:20:32,241 - ERROR: Error occurred at 2024-10-13 15:20:32 - TCP IP: 10.68.111.144, Port: 2402, Run: 1, METERID: MET0151. Error: TimeoutError: timed out
2024-10-13 15:20:49,879 - ERROR: Error occurred at 2024-10-13 15:20:49 - TCP IP: 10.68.111.144, Port: 2404, Run: 2, METERID: MET0151. Error: TimeoutError: timed out
2024-10-13 15:23:16,846 - ERROR: Error occurred at 2024-10-13 15:23:16 - TCP IP: 10.68.111.253, Port: 2404, Run: 2, METERID: MET0720. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fffffbffffff!
2024-10-13 15:27:40,407 - ERROR: Error occurred at 2024-10-13 15:27:40 - TCP IP: 10.68.111.217, Port: 2404, Run: 2, METERID: MET0314. Error: ValueError: NaTType does not support strftime
2024-10-13 15:30:09,491 - ERROR: Error occurred at 2024-10-13 15:30:09 - TCP IP: 10.68.110.136, Port: 2402, Run: 1, METERID: MET0734. Error: TimeoutError: timed out
2024-10-13 15:30:12,132 - ERROR: Error occurred at 2024-10-13 15:30:12 - TCP IP: 10.68.110.136, Port: 2404, Run: 2, METERID: MET0734. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device fdfbdb5bffdfbbf5!
